RatingID,GameID,Critic,User,Rating
1,1,7.6,8,E
2,3,8.2,8.3,E
3,4,8,8,E
4,7,8.9,8.5,E
5,8,5.8,6.6,E
6,9,8.7,8.4,E
7,12,9.1,8.6,E
8,14,8,7.7,E
9,15,6.1,6.3,E
10,16,8,7.4,E
11,17,9.7,8.2,M
12,18,9.5,9,M
13,20,7.7,7.9,E
14,24,9.7,8.1,M
15,25,9.5,8.7,M
16,27,7.7,7.1,E
17,29,9.5,8.4,E
18,30,8.8,3.4,M
19,33,8.7,6.3,M
20,35,8.3,5.3,M
21,36,8.3,4.8,M
22,37,9.4,6.3,M
23,38,8.8,3.2,M
24,39,9.7,8.5,M
25,40,9.3,8.9,T
26,41,8.5,8.2,E
27,42,8.8,6.4,M
28,43,9.7,8.3,M
29,44,8.6,8.7,E
30,45,9.4,7.8,M
31,49,8.9,8.5,E
32,50,9.7,8.9,E
33,52,9.8,7.9,M
34,53,9.6,8.7,E
35,54,9,8.4,E
36,55,8.4,7.5,E
37,56,9.4,6.3,M
38,58,9.8,7.5,M
39,61,7.3,2.6,M
40,62,7.4,7.8,E10+
41,63,7.8,7.2,E
42,65,9.1,7.9,M
43,66,9.2,9.2,T
44,67,8.7,7,M
45,68,9.3,9,T
46,69,7.4,7.3,E10+
47,70,7.1,2.6,M
48,71,9.4,8.4,M
49,74,8.8,8.7,E
50,75,7.2,7.8,E
51,76,9.6,8.4,M
52,78,8.2,4.3,E
53,79,9.5,8.2,M
54,80,6.8,7.4,E
55,81,6.2,6.3,E
56,82,8.8,6.6,E
57,85,9.2,8.7,T
58,86,8.6,7.6,T
59,89,9,8.6,T
60,91,8.3,8.5,E
61,92,8.8,7.6,M
62,93,8.3,5.7,M
63,95,8.5,5,E
64,98,9.7,9.1,E
65,101,8.4,7.6,M
66,102,8.4,7.4,M
67,103,8.5,8.6,E
68,104,4.9,8,E10+
69,105,8.5,7.5,M
70,106,8.7,6.5,M
71,107,9.6,9.1,T
72,108,9.5,9,T
73,110,9.1,8.9,E
74,111,8.8,9.1,E
75,112,9.2,9.1,T
76,114,8.2,8.6,E
77,115,8.8,8.5,T
78,117,7.4,7.3,E10+
79,118,9.3,7.7,M
80,119,9.2,8.3,T
81,121,9.4,8.4,M
82,122,9.6,8.8,T
83,124,7.4,7.4,E
84,126,9.5,8.8,M
85,127,8.6,4.3,E
86,128,8.5,6.9,M
87,129,8.7,8.6,E
88,130,9.7,8.6,M
89,131,9.2,6.4,M
90,132,7.6,9,E
91,133,8.5,8.8,E
92,135,8.3,7.1,M
93,136,9.5,9,M
94,137,9.2,8.6,E
95,139,9.3,7.3,T
96,140,8.7,8.1,T
97,141,9.1,7.8,M
98,142,7.3,7.4,E10+
99,143,9.4,8.3,M
100,144,8.2,5.7,E
101,145,9.6,8.7,M
102,147,9.4,9.4,M
103,148,9.4,8.7,M
104,149,9.2,7.6,T
105,150,9.5,9.1,M
